TSN,genus
130211,Neopachygaster
130217,Pachygaster
130222,Zabrachia
130242,Evaza
130245,Adoxomyia
130265,Cyphomyia
130274,Dicyphoma
130277,Dieuryneura
130282,Euryneura
130285,Chrysochlorina
130289,Hermetia
130311,Cephalochrysa
130322,Chloromyia
130325,Merosargus
130339,Microchrysa
130346,Ptecticus
130366,Sargus
130409,Caloparyphus
130436,Euparyphus
130461,Oxycera
130473,Myxosargus
130480,Nothomyia
130484,Anoplodonta
130488,Hedriodiscus
130513,Hoplitimyia
130573,Odontomyia
130627,Stratiomys
130688,Brachycara
130694,Nemotelus
130915,Glutops
130923,Pelecorhynchus
130924,Pseudoerinna
130937,Apatolestes
130955,Asaphomyia
130958,Brennania
130964,Esenbeckia
131022,Pegasomyia
131027,Stonemyia
131045,Goniops
131050,Zophina
131055,Merycomyia
131062,Silvius
131078,Chrysops
131230,Neochrysops
131234,Anacimas
131239,Bolbodimyia
131244,Catachlorops
131249,Chlorotabanus
131252,Dichelacera
131263,Diachlorus
131267,Holcopsis
131275,Lepiselaga
131282,Leucotabanus
131286,Microtabanus
131289,Stenotabanus
131310,Haematopota
131319,Poeciloderas
131321,Hybomitra
131476,Atylotus
131501,Agkistrocerus
131508,Hamatabanus
131520,Whitneyomyia
131527,Tabanus
135832,Anomalempis
135835,Brachystoma
135845,Boreodromia
135849,Clinocera
135869,Ceratempis
135871,Dolichocephala
135875,Heleodromia
135878,Niphogenia
135881,Oreothalia
135887,Proclinopyga
135893,Roederiodes
135901,Sabroskyella
135903,Trichoclinocera
135920,Wiedemannia
135928,Zanclotus
135931,Anthepiscopus
135941,Brochella
135943,Empis
136051,Hesperempis
136055,Hilara
136098,Iteaphila
136120,Philetus
136123,Rhamphomyia
136289,Toreus
136292,Chelipoda
136302,Phyllodromia
136305,Chelifera
136327,Hemerodromia
136347,Metachela
136352,Neoplasta
136356,Thanategia
136362,Apalocnemis
136365,Gloma
136369,Hormopeza
136377,Oreogeton
136390,Ragas
136826,Chrysosoma
136835,Condylostylus
136935,Mesorhaga
136952,Psilopiella
136956,Sciapus
136995,Neurigona
137047,Medetera
137137,Thrypticus
137160,Systenus
137169,Achalcus
137174,Xanthochlorus
137177,Enlinia
137187,Harmstonia
137191,Chrysotimus
137200,Micromorphus
137213,Nanomyina
137217,Neurigonella
137222,Peloropeodes
137243,Achradocera
137250,Argyra
137300,Asyndetus
137325,Chrysotus
137430,Diaphorus
137484,Keirosoma
137486,Nematoproctus
137497,Rhaphium
137621,Plagioneurus
137624,Sympycnidelphus
137629,Calyxochaetus
137632,Campsicnemus
137784,Lamprochromus
137788,Neoparentia
137791,Parasyntormon
137813,Sympycnus
137870,Syntormon
137896,Telmaturgus
137899,Teuchophorus
137904,Eurynogaster
137953,Dolichopus
138308,Gymnopternus
138399,Hercostomus
138443,Paraclius
138465,Pelastoneurus
138523,Tachytrechus
138577,Aphrosylus
138584,Diostracus
138587,Hydatostega
138606,Hydrophorus
138724,Hypocharassus
138729,Liancalus
138735,Melanderia
138741,Scellus
138756,Thinophilus
138786,Paraliancalus
138788,Paraphrosylus
138790,Sigmatineurum
139623,Microdon
139680,Mixogaster
139684,Rhopalosyrphus
139687,Baccha
139694,Leucopodella
139697,Melanostoma
139712,Platycheirus
139857,Xanthandrus
139860,Paragus
139872,Toxomerus
139910,Allograpta
139928,Chrysotoxum
139953,Dasysyrphus
139976,Didea
139981,Dideomima
139984,Doros
139987,Epistrophe
140019,Eriozona
140026,Eupeodes
140093,Leucozona
140100,Melangyna
140140,Meliscaeva
140144,Ocyptamus
140186,Parasyrphus
140227,Pseudodoros
140235,Salpingogaster
